zip,year,category_id,category,count,percentage,total_requests
98126,2025,9,Government & Legal,204,14.8%,1376
98126,2025,10,Transportation Assistance,43,3.1%,1376
98126,2025,11,Education,10,<1%,1376
98126,2025,12,Disaster,53,3.9%,1376
98126,2025,13,Other,235,17.1%,1376
98127,2025,2,Housing & Shelter,2,50.0%,4
98127,2025,3,Food,1,25.0%,4
98127,2025,1,Utilities,0,0%,4
98127,2025,4,Healthcare & COVID-19,0,0%,4
98127,2025,5,Mental Health & Addictions,0,0%,4
98127,2025,6,Employment & Income,0,0%,4
98127,2025,7,Clothing & Household,0,0%,4
98127,2025,8,Child Care & Parenting,0,0%,4
98127,2025,9,Government & Legal,0,0%,4
98127,2025,10,Transportation Assistance,0,0%,4
98127,2025,11,Education,0,0%,4
98127,2025,12,Disaster,0,0%,4
98127,2025,13,Other,1,25.0%,4
98129,2025,2,Housing & Shelter,2,66.7%,3
98129,2025,3,Food,0,0%,3
98129,2025,1,Utilities,0,0%,3
98129,2025,4,Healthcare & COVID-19,0,0%,3
98129,2025,5,Mental Health & Addictions,0,0%,3
98129,2025,6,Employment & Income,0,0%,3
98129,2025,7,Clothing & Household,0,0%,3
98129,2025,8,Child Care & Parenting,0,0%,3
98129,2025,9,Government & Legal,0,0%,3
98129,2025,10,Transportation Assistance,0,0%,3
98129,2025,11,Education,0,0%,3
98129,2025,12,Disaster,0,0%,3
98129,2025,13,Other,1,33.3%,3
98131,2025,2,Housing & Shelter,5,55.6%,9
98131,2025,3,Food,1,11.1%,9
98131,2025,1,Utilities,1,11.1%,9
98131,2025,4,Healthcare & COVID-19,1,11.1%,9
98131,2025,5,Mental Health & Addictions,0,0%,9
98131,2025,6,Employment & Income,0,0%,9
98131,2025,7,Clothing & Household,1,11.1%,9
98131,2025,8,Child Care & Parenting,0,0%,9
98131,2025,9,Government & Legal,0,0%,9
98131,2025,10,Transportation Assistance,0,0%,9
98131,2025,11,Education,0,0%,9
98131,2025,12,Disaster,0,0%,9
98131,2025,13,Other,0,0%,9
98132,2025,2,Housing & Shelter,0,0%,0
98132,2025,3,Food,0,0%,0
98132,2025,1,Utilities,0,0%,0
98132,2025,4,Healthcare & COVID-19,0,0%,0
98132,2025,5,Mental Health & Addictions,0,0%,0
98132,2025,6,Employment & Income,0,0%,0
98132,2025,7,Clothing & Household,0,0%,0
98132,2025,8,Child Care & Parenting,0,0%,0
98132,2025,9,Government & Legal,0,0%,0
98132,2025,10,Transportation Assistance,0,0%,0
98132,2025,11,Education,0,0%,0
98132,2025,12,Disaster,0,0%,0
98132,2025,13,Other,0,0%,0
98133,2025,2,Housing & Shelter,1589,29.9%,5320
98133,2025,3,Food,685,12.9%,5320
98133,2025,1,Utilities,502,9.4%,5320
98133,2025,4,Healthcare & COVID-19,281,5.3%,5320
98133,2025,5,Mental Health & Addictions,109,2.0%,5320
98133,2025,6,Employment & Income,141,2.7%,5320
98133,2025,7,Clothing & Household,191,3.6%,5320
98133,2025,8,Child Care & Parenting,24,<1%,5320
98133,2025,9,Government & Legal,739,13.9%,5320
98133,2025,10,Transportation Assistance,152,2.9%,5320
98133,2025,11,Education,17,<1%,5320
98133,2025,12,Disaster,172,3.2%,5320
98133,2025,13,Other,718,13.5%,5320
98134,2025,2,Housing & Shelter,69,31.1%,222
98134,2025,3,Food,24,10.8%,222
98134,2025,1,Utilities,20,9.0%,222
98134,2025,4,Healthcare & COVID-19,11,5.0%,222
98134,2025,5,Mental Health & Addictions,3,1.4%,222
98134,2025,6,Employment & Income,4,1.8%,222
98134,2025,7,Clothing & Household,11,5.0%,222
98134,2025,8,Child Care & Parenting,0,0%,222
98134,2025,9,Government & Legal,29,13.1%,222
98134,2025,10,Transportation Assistance,5,2.3%,222
98134,2025,11,Education,0,0%,222
98134,2025,12,Disaster,7,3.2%,222
98134,2025,13,Other,39,17.6%,222
98136,2025,2,Housing & Shelter,142,26.0%,546
98136,2025,3,Food,74,13.6%,546
98136,2025,1,Utilities,42,7.7%,546
98136,2025,4,Healthcare & COVID-19,32,5.9%,546
98136,2025,5,Mental Health & Addictions,14,2.6%,546
98136,2025,6,Employment & Income,12,2.2%,546
98136,2025,7,Clothing & Household,17,3.1%,546
98136,2025,8,Child Care & Parenting,5,<1%,546
98136,2025,9,Government & Legal,90,16.5%,546
98136,2025,10,Transportation Assistance,10,1.8%,546
98136,2025,11,Education,2,<1%,546
98136,2025,12,Disaster,22,4.0%,546
98136,2025,13,Other,84,15.4%,546
98138,2025,2,Housing & Shelter,2,20.0%,10
98138,2025,3,Food,1,10.0%,10
98138,2025,1,Utilities,0,0%,10
98138,2025,4,Healthcare & COVID-19,0,0%,10
98138,2025,5,Mental Health & Addictions,2,20.0%,10
98138,2025,6,Employment & Income,0,0%,10
98138,2025,7,Clothing & Household,0,0%,10
98138,2025,8,Child Care & Parenting,0,0%,10
98138,2025,9,Government & Legal,3,30.0%,10
98138,2025,10,Transportation Assistance,2,20.0%,10
98138,2025,11,Education,0,0%,10
98138,2025,12,Disaster,0,0%,10
98138,2025,13,Other,0,0%,10
98139,2025,2,Housing & Shelter,1,20.0%,5
98139,2025,3,Food,3,60.0%,5
98139,2025,1,Utilities,1,20.0%,5
98139,2025,4,Healthcare & COVID-19,0,0%,5
98139,2025,5,Mental Health & Addictions,0,0%,5
98139,2025,6,Employment & Income,0,0%,5
98139,2025,7,Clothing & Household,0,0%,5
98139,2025,8,Child Care & Parenting,0,0%,5
98139,2025,9,Government & Legal,0,0%,5
98139,2025,10,Transportation Assistance,0,0%,5
98139,2025,11,Education,0,0%,5
98139,2025,12,Disaster,0,0%,5
98139,2025,13,Other,0,0%,5
98141,2025,2,Housing & Shelter,0,0%,0
98141,2025,3,Food,0,0%,0
98141,2025,1,Utilities,0,0%,0
98141,2025,4,Healthcare & COVID-19,0,0%,0
98141,2025,5,Mental Health & Addictions,0,0%,0
98141,2025,6,Employment & Income,0,0%,0
98141,2025,7,Clothing & Household,0,0%,0
98141,2025,8,Child Care & Parenting,0,0%,0
98141,2025,9,Government & Legal,0,0%,0
98141,2025,10,Transportation Assistance,0,0%,0
98141,2025,11,Education,0,0%,0
98141,2025,12,Disaster,0,0%,0
98141,2025,13,Other,0,0%,0
98144,2025,2,Housing & Shelter,1322,30.9%,4277
98144,2025,3,Food,553,12.9%,4277
98144,2025,1,Utilities,403,9.4%,4277
98144,2025,4,Healthcare & COVID-19,192,4.5%,4277
98144,2025,5,Mental Health & Addictions,92,2.2%,4277
98144,2025,6,Employment & Income,121,2.8%,4277
98144,2025,7,Clothing & Household,166,3.9%,4277
98144,2025,8,Child Care & Parenting,18,<1%,4277
98144,2025,9,Government & Legal,552,12.9%,4277
98144,2025,10,Transportation Assistance,138,3.2%,4277
98144,2025,11,Education,13,<1%,4277
98144,2025,12,Disaster,158,3.7%,4277
98144,2025,13,Other,549,12.8%,4277
98145,2025,2,Housing & Shelter,5,31.3%,16
98145,2025,3,Food,3,18.8%,16
98145,2025,1,Utilities,1,6.3%,16
98145,2025,4,Healthcare & COVID-19,2,12.5%,16
98145,2025,5,Mental Health & Addictions,0,0%,16
98145,2025,6,Employment & Income,0,0%,16
98145,2025,7,Clothing & Household,0,0%,16
98145,2025,8,Child Care & Parenting,0,0%,16
98145,2025,9,Government & Legal,1,6.3%,16
98145,2025,10,Transportation Assistance,2,12.5%,16
98145,2025,11,Education,0,0%,16
98145,2025,12,Disaster,1,6.3%,16
98145,2025,13,Other,1,6.3%,16
98146,2025,2,Housing & Shelter,702,29.5%,2381
98146,2025,3,Food,316,13.3%,2381
98146,2025,1,Utilities,325,13.6%,2381
98146,2025,4,Healthcare & COVID-19,71,3.0%,2381
98146,2025,5,Mental Health & Addictions,53,2.2%,2381
98146,2025,6,Employment & Income,67,2.8%,2381
98146,2025,7,Clothing & Household,85,3.6%,2381
98146,2025,8,Child Care & Parenting,9,<1%,2381
98146,2025,9,Government & Legal,368,15.5%,2381
98146,2025,10,Transportation Assistance,49,2.1%,2381
98146,2025,11,Education,9,<1%,2381
98146,2025,12,Disaster,66,2.8%,2381
98146,2025,13,Other,261,11.0%,2381
98148,2025,2,Housing & Shelter,334,30.3%,1101
98148,2025,3,Food,145,13.2%,1101
98148,2025,1,Utilities,143,13.0%,1101
98148,2025,4,Healthcare & COVID-19,39,3.5%,1101
98148,2025,5,Mental Health & Addictions,16,1.5%,1101
98148,2025,6,Employment & Income,25,2.3%,1101
98148,2025,7,Clothing & Household,38,3.5%,1101
98148,2025,8,Child Care & Parenting,11,<1%,1101
98148,2025,9,Government & Legal,137,12.4%,1101
98148,2025,10,Transportation Assistance,35,3.2%,1101
98148,2025,11,Education,9,<1%,1101
98148,2025,12,Disaster,26,2.4%,1101
98148,2025,13,Other,143,13.0%,1101
98154,2025,2,Housing & Shelter,11,61.1%,18
98154,2025,3,Food,2,11.1%,18
98154,2025,1,Utilities,3,16.7%,18
98154,2025,4,Healthcare & COVID-19,0,0%,18
98154,2025,5,Mental Health & Addictions,1,5.6%,18
98154,2025,6,Employment & Income,0,0%,18
98154,2025,7,Clothing & Household,0,0%,18
98154,2025,8,Child Care & Parenting,0,0%,18
98154,2025,9,Government & Legal,0,0%,18
98154,2025,10,Transportation Assistance,0,0%,18
98154,2025,11,Education,0,0%,18
98154,2025,12,Disaster,0,0%,18
98154,2025,13,Other,1,5.6%,18
98155,2025,2,Housing & Shelter,476,26.1%,1824
98155,2025,3,Food,239,13.1%,1824
98155,2025,1,Utilities,179,9.8%,1824
98155,2025,4,Healthcare & COVID-19,117,6.4%,1824
98155,2025,5,Mental Health & Addictions,38,2.1%,1824
98155,2025,6,Employment & Income,49,2.7%,1824
98155,2025,7,Clothing & Household,56,3.1%,1824
98155,2025,8,Child Care & Parenting,7,<1%,1824
98155,2025,9,Government & Legal,280,15.4%,1824
98155,2025,10,Transportation Assistance,74,4.1%,1824
98155,2025,11,Education,4,<1%,1824
98155,2025,12,Disaster,58,3.2%,1824
98155,2025,13,Other,247,13.5%,1824
98158,2025,2,Housing & Shelter,17,39.5%,43
98158,2025,3,Food,6,14.0%,43
98158,2025,1,Utilities,2,4.7%,43
98158,2025,4,Healthcare & COVID-19,3,7.0%,43
98158,2025,5,Mental Health & Addictions,0,0%,43
98158,2025,6,Employment & Income,1,2.3%,43
98158,2025,7,Clothing & Household,0,0%,43
98158,2025,8,Child Care & Parenting,0,0%,43
98158,2025,9,Government & Legal,4,9.3%,43
98158,2025,10,Transportation Assistance,2,4.7%,43
98158,2025,11,Education,0,0%,43
98158,2025,12,Disaster,1,2.3%,43
98158,2025,13,Other,7,16.3%,43
98160,2025,2,Housing & Shelter,0,0%,0
98160,2025,3,Food,0,0%,0
98160,2025,1,Utilities,0,0%,0
98160,2025,4,Healthcare & COVID-19,0,0%,0
98160,2025,5,Mental Health & Addictions,0,0%,0
98160,2025,6,Employment & Income,0,0%,0
98160,2025,7,Clothing & Household,0,0%,0
98160,2025,8,Child Care & Parenting,0,0%,0
98160,2025,9,Government & Legal,0,0%,0
98160,2025,10,Transportation Assistance,0,0%,0
98160,2025,11,Education,0,0%,0
98160,2025,12,Disaster,0,0%,0
98160,2025,13,Other,0,0%,0
98161,2025,2,Housing & Shelter,6,60.0%,10
98161,2025,3,Food,0,0%,10
98161,2025,1,Utilities,1,10.0%,10
98161,2025,4,Healthcare & COVID-19,0,0%,10
98161,2025,5,Mental Health & Addictions,0,0%,10
98161,2025,6,Employment & Income,1,10.0%,10
98161,2025,7,Clothing & Household,0,0%,10
98161,2025,8,Child Care & Parenting,0,0%,10
98161,2025,9,Government & Legal,0,0%,10
98161,2025,10,Transportation Assistance,0,0%,10
98161,2025,11,Education,0,0%,10
98161,2025,12,Disaster,1,10.0%,10
98161,2025,13,Other,1,10.0%,10
98164,2025,2,Housing & Shelter,0,0%,1
98164,2025,3,Food,0,0%,1
98164,2025,1,Utilities,0,0%,1
98164,2025,4,Healthcare & COVID-19,0,0%,1
98164,2025,5,Mental Health & Addictions,0,0%,1
98164,2025,6,Employment & Income,1,100.0%,1
98164,2025,7,Clothing & Household,0,0%,1
98164,2025,8,Child Care & Parenting,0,0%,1
98164,2025,9,Government & Legal,0,0%,1
98164,2025,10,Transportation Assistance,0,0%,1
98164,2025,11,Education,0,0%,1
98164,2025,12,Disaster,0,0%,1
98164,2025,13,Other,0,0%,1
98165,2025,2,Housing & Shelter,1,16.7%,6
98165,2025,3,Food,2,33.3%,6
98165,2025,1,Utilities,0,0%,6
98165,2025,4,Healthcare & COVID-19,0,0%,6
98165,2025,5,Mental Health & Addictions,0,0%,6
98165,2025,6,Employment & Income,0,0%,6
98165,2025,7,Clothing & Household,0,0%,6
98165,2025,8,Child Care & Parenting,0,0%,6
98165,2025,9,Government & Legal,0,0%,6
98165,2025,10,Transportation Assistance,2,33.3%,6
98165,2025,11,Education,0,0%,6
98165,2025,12,Disaster,0,0%,6
98165,2025,13,Other,1,16.7%,6
98166,2025,2,Housing & Shelter,452,30.1%,1501
98166,2025,3,Food,170,11.3%,1501
98166,2025,1,Utilities,175,11.7%,1501
98166,2025,4,Healthcare & COVID-19,108,7.2%,1501
98166,2025,5,Mental Health & Addictions,32,2.1%,1501
98166,2025,6,Employment & Income,34,2.3%,1501
98166,2025,7,Clothing & Household,32,2.1%,1501
98166,2025,8,Child Care & Parenting,19,1.3%,1501
98166,2025,9,Government & Legal,175,11.7%,1501
98166,2025,10,Transportation Assistance,35,2.3%,1501
98166,2025,11,Education,2,<1%,1501
98166,2025,12,Disaster,50,3.3%,1501
98166,2025,13,Other,217,14.5%,1501
98168,2025,2,Housing & Shelter,1128,30.1%,3744
98168,2025,3,Food,475,12.7%,3744
98168,2025,1,Utilities,460,12.3%,3744
98168,2025,4,Healthcare & COVID-19,172,4.6%,3744
98168,2025,5,Mental Health & Addictions,72,1.9%,3744
98168,2025,6,Employment & Income,122,3.3%,3744
98168,2025,7,Clothing & Household,120,3.2%,3744
98168,2025,8,Child Care & Parenting,26,<1%,3744
98168,2025,9,Government & Legal,439,11.7%,3744
98168,2025,10,Transportation Assistance,111,3.0%,3744
98168,2025,11,Education,17,<1%,3744
98168,2025,12,Disaster,129,3.4%,3744
98168,2025,13,Other,473,12.6%,3744
98170,2025,2,Housing & Shelter,1,50.0%,2
98170,2025,3,Food,0,0%,2
98170,2025,1,Utilities,0,0%,2
98170,2025,4,Healthcare & COVID-19,0,0%,2
98170,2025,5,Mental Health & Addictions,0,0%,2
98170,2025,6,Employment & Income,0,0%,2
98170,2025,7,Clothing & Household,0,0%,2
98170,2025,8,Child Care & Parenting,0,0%,2
98170,2025,9,Government & Legal,0,0%,2
98170,2025,10,Transportation Assistance,1,50.0%,2
98170,2025,11,Education,0,0%,2
98170,2025,12,Disaster,0,0%,2
98170,2025,13,Other,0,0%,2
98174,2025,2,Housing & Shelter,0,0%,0
98174,2025,3,Food,0,0%,0
98174,2025,1,Utilities,0,0%,0
98174,2025,4,Healthcare & COVID-19,0,0%,0
98174,2025,5,Mental Health & Addictions,0,0%,0
98174,2025,6,Employment & Income,0,0%,0
98174,2025,7,Clothing & Household,0,0%,0
98174,2025,8,Child Care & Parenting,0,0%,0
98174,2025,9,Government & Legal,0,0%,0
98174,2025,10,Transportation Assistance,0,0%,0
98174,2025,11,Education,0,0%,0
98174,2025,12,Disaster,0,0%,0
98174,2025,13,Other,0,0%,0
98175,2025,2,Housing & Shelter,1,50.0%,2
98175,2025,3,Food,0,0%,2
98175,2025,1,Utilities,0,0%,2
98175,2025,4,Healthcare & COVID-19,0,0%,2
98175,2025,5,Mental Health & Addictions,1,50.0%,2
98175,2025,6,Employment & Income,0,0%,2
98175,2025,7,Clothing & Household,0,0%,2
98175,2025,8,Child Care & Parenting,0,0%,2
98175,2025,9,Government & Legal,0,0%,2
98175,2025,10,Transportation Assistance,0,0%,2
98175,2025,11,Education,0,0%,2
98175,2025,12,Disaster,0,0%,2
98175,2025,13,Other,0,0%,2
98177,2025,2,Housing & Shelter,100,23.7%,422
98177,2025,3,Food,50,11.8%,422
98177,2025,1,Utilities,33,7.8%,422
98177,2025,4,Healthcare & COVID-19,44,10.4%,422
98177,2025,5,Mental Health & Addictions,11,2.6%,422
98177,2025,6,Employment & Income,21,5.0%,422
98177,2025,7,Clothing & Household,11,2.6%,422
98177,2025,8,Child Care & Parenting,3,<1%,422
98177,2025,9,Government & Legal,76,18.0%,422
98177,2025,10,Transportation Assistance,18,4.3%,422
98177,2025,11,Education,1,<1%,422
98177,2025,12,Disaster,8,1.9%,422
98177,2025,13,Other,46,10.9%,422
98178,2025,2,Housing & Shelter,790,28.3%,2792
98178,2025,3,Food,381,13.6%,2792
98178,2025,1,Utilities,374,13.4%,2792
98178,2025,4,Healthcare & COVID-19,120,4.3%,2792
98178,2025,5,Mental Health & Addictions,33,1.2%,2792
98178,2025,6,Employment & Income,97,3.5%,2792
98178,2025,7,Clothing & Household,82,2.9%,2792
98178,2025,8,Child Care & Parenting,13,<1%,2792
98178,2025,9,Government & Legal,342,12.2%,2792
98178,2025,10,Transportation Assistance,91,3.3%,2792
98178,2025,11,Education,9,<1%,2792
98178,2025,12,Disaster,118,4.2%,2792
98178,2025,13,Other,342,12.2%,2792
98181,2025,2,Housing & Shelter,0,0%,0
98181,2025,3,Food,0,0%,0
98181,2025,1,Utilities,0,0%,0
98181,2025,4,Healthcare & COVID-19,0,0%,0
98181,2025,5,Mental Health & Addictions,0,0%,0
98181,2025,6,Employment & Income,0,0%,0
98181,2025,7,Clothing & Household,0,0%,0
98181,2025,8,Child Care & Parenting,0,0%,0
98181,2025,9,Government & Legal,0,0%,0
98181,2025,10,Transportation Assistance,0,0%,0
98181,2025,11,Education,0,0%,0
98181,2025,12,Disaster,0,0%,0
98181,2025,13,Other,0,0%,0
98185,2025,2,Housing & Shelter,0,0%,4
98185,2025,3,Food,0,0%,4
98185,2025,1,Utilities,0,0%,4
98185,2025,4,Healthcare & COVID-19,0,0%,4
98185,2025,5,Mental Health & Addictions,0,0%,4
98185,2025,6,Employment & Income,0,0%,4
98185,2025,7,Clothing & Household,4,100.0%,4
98185,2025,8,Child Care & Parenting,0,0%,4
98185,2025,9,Government & Legal,0,0%,4
98185,2025,10,Transportation Assistance,0,0%,4
98185,2025,11,Education,0,0%,4
98185,2025,12,Disaster,0,0%,4
98185,2025,13,Other,0,0%,4
98188,2025,2,Housing & Shelter,1536,31.6%,4857
98188,2025,3,Food,580,11.9%,4857
98188,2025,1,Utilities,555,11.4%,4857
98188,2025,4,Healthcare & COVID-19,222,4.6%,4857
98188,2025,5,Mental Health & Addictions,84,1.7%,4857
98188,2025,6,Employment & Income,153,3.2%,4857
98188,2025,7,Clothing & Household,118,2.4%,4857
98188,2025,8,Child Care & Parenting,35,<1%,4857
98188,2025,9,Government & Legal,528,10.9%,4857
98188,2025,10,Transportation Assistance,152,3.1%,4857
98188,2025,11,Education,19,<1%,4857
98188,2025,12,Disaster,179,3.7%,4857
98188,2025,13,Other,696,14.3%,4857
98190,2025,2,Housing & Shelter,0,0%,0
98190,2025,3,Food,0,0%,0
98190,2025,1,Utilities,0,0%,0
98190,2025,4,Healthcare & COVID-19,0,0%,0
98190,2025,5,Mental Health & Addictions,0,0%,0
98190,2025,6,Employment & Income,0,0%,0
98190,2025,7,Clothing & Household,0,0%,0
98190,2025,8,Child Care & Parenting,0,0%,0
98190,2025,9,Government & Legal,0,0%,0
98190,2025,10,Transportation Assistance,0,0%,0
98190,2025,11,Education,0,0%,0
98190,2025,12,Disaster,0,0%,0
98190,2025,13,Other,0,0%,0
98191,2025,2,Housing & Shelter,0,0%,0
98191,2025,3,Food,0,0%,0
98191,2025,1,Utilities,0,0%,0
98191,2025,4,Healthcare & COVID-19,0,0%,0
98191,2025,5,Mental Health & Addictions,0,0%,0
98191,2025,6,Employment & Income,0,0%,0
98191,2025,7,Clothing & Household,0,0%,0
98191,2025,8,Child Care & Parenting,0,0%,0
98191,2025,9,Government & Legal,0,0%,0
98191,2025,10,Transportation Assistance,0,0%,0
98191,2025,11,Education,0,0%,0
98191,2025,12,Disaster,0,0%,0
98191,2025,13,Other,0,0%,0
98194,2025,2,Housing & Shelter,0,0%,0
98194,2025,3,Food,0,0%,0
98194,2025,1,Utilities,0,0%,0
98194,2025,4,Healthcare & COVID-19,0,0%,0
98194,2025,5,Mental Health & Addictions,0,0%,0
98194,2025,6,Employment & Income,0,0%,0
98194,2025,7,Clothing & Household,0,0%,0
98194,2025,8,Child Care & Parenting,0,0%,0
98194,2025,9,Government & Legal,0,0%,0
98194,2025,10,Transportation Assistance,0,0%,0
98194,2025,11,Education,0,0%,0
98194,2025,12,Disaster,0,0%,0
98194,2025,13,Other,0,0%,0
98195,2025,2,Housing & Shelter,18,51.4%,35
98195,2025,3,Food,0,0%,35
98195,2025,1,Utilities,3,8.6%,35
98195,2025,4,Healthcare & COVID-19,4,11.4%,35
98195,2025,5,Mental Health & Addictions,0,0%,35
98195,2025,6,Employment & Income,2,5.7%,35
98195,2025,7,Clothing & Household,0,0%,35
98195,2025,8,Child Care & Parenting,0,0%,35
98195,2025,9,Government & Legal,2,5.7%,35
98195,2025,10,Transportation Assistance,1,2.9%,35
98195,2025,11,Education,0,0%,35
98195,2025,12,Disaster,1,2.9%,35
98195,2025,13,Other,4,11.4%,35
98198,2025,2,Housing & Shelter,1179,30.6%,3857
98198,2025,3,Food,483,12.5%,3857
98198,2025,1,Utilities,463,12.0%,3857
98198,2025,4,Healthcare & COVID-19,182,4.7%,3857
98198,2025,5,Mental Health & Addictions,76,2.0%,3857
98198,2025,6,Employment & Income,105,2.7%,3857
98198,2025,7,Clothing & Household,92,2.4%,3857
98198,2025,8,Child Care & Parenting,29,<1%,3857
98198,2025,9,Government & Legal,498,12.9%,3857
98198,2025,10,Transportation Assistance,103,2.7%,3857
98198,2025,11,Education,15,<1%,3857
98198,2025,12,Disaster,141,3.7%,3857
98198,2025,13,Other,491,12.7%,3857
98199,2025,2,Housing & Shelter,93,22.2%,419
98199,2025,3,Food,43,10.3%,419
98199,2025,1,Utilities,28,6.7%,419
98199,2025,4,Healthcare & COVID-19,45,10.7%,419
98199,2025,5,Mental Health & Addictions,15,3.6%,419
98199,2025,6,Employment & Income,6,1.4%,419
98199,2025,7,Clothing & Household,5,1.2%,419
98199,2025,8,Child Care & Parenting,3,<1%,419
98199,2025,9,Government & Legal,89,21.2%,419
98199,2025,10,Transportation Assistance,17,4.1%,419
98199,2025,11,Education,1,<1%,419
98199,2025,12,Disaster,12,2.9%,419
98199,2025,13,Other,62,14.8%,419
98224,2025,2,Housing & Shelter,0,0%,19
98224,2025,3,Food,3,15.8%,19
98224,2025,1,Utilities,0,0%,19
98224,2025,4,Healthcare & COVID-19,2,10.5%,19
98224,2025,5,Mental Health & Addictions,0,0%,19
98224,2025,6,Employment & Income,1,5.3%,19
98224,2025,7,Clothing & Household,1,5.3%,19
98224,2025,8,Child Care & Parenting,0,0%,19
98224,2025,9,Government & Legal,3,15.8%,19
98224,2025,10,Transportation Assistance,4,21.1%,19
98224,2025,11,Education,1,5.3%,19
98224,2025,12,Disaster,2,10.5%,19
98224,2025,13,Other,2,10.5%,19
98288,2025,2,Housing & Shelter,20,22.5%,89
98288,2025,3,Food,16,18.0%,89
98288,2025,1,Utilities,11,12.4%,89
98288,2025,4,Healthcare & COVID-19,3,3.4%,89
98288,2025,5,Mental Health & Addictions,0,0%,89
98288,2025,6,Employment & Income,2,2.2%,89
98288,2025,7,Clothing & Household,4,4.5%,89
98288,2025,8,Child Care & Parenting,0,0%,89
98288,2025,9,Government & Legal,9,10.1%,89
98288,2025,10,Transportation Assistance,6,6.7%,89
98288,2025,11,Education,0,0%,89
98288,2025,12,Disaster,9,10.1%,89
98288,2025,13,Other,9,10.1%,89
98103,2025,2,Housing & Shelter,812,27.0%,3012
98103,2025,3,Food,282,9.4%,3012
98103,2025,1,Utilities,258,8.6%,3012
98103,2025,4,Healthcare & COVID-19,141,4.7%,3012
98103,2025,5,Mental Health & Addictions,73,2.4%,3012
98103,2025,6,Employment & Income,78,2.6%,3012
98103,2025,7,Clothing & Household,83,2.8%,3012
98103,2025,8,Child Care & Parenting,20,<1%,3012
98103,2025,9,Government & Legal,368,12.2%,3012
98103,2025,10,Transportation Assistance,63,2.1%,3012
98103,2025,11,Education,9,<1%,3012
98103,2025,12,Disaster,86,2.9%,3012
98103,2025,13,Other,739,24.5%,3012
98422,2025,2,Housing & Shelter,144,36.4%,396
98422,2025,3,Food,26,6.6%,396
98422,2025,1,Utilities,64,16.2%,396
98422,2025,4,Healthcare & COVID-19,17,4.3%,396
98422,2025,5,Mental Health & Addictions,7,1.8%,396
98422,2025,6,Employment & Income,21,5.3%,396
98422,2025,7,Clothing & Household,9,2.3%,396
98422,2025,8,Child Care & Parenting,4,1.0%,396
98422,2025,9,Government & Legal,37,9.3%,396
98422,2025,10,Transportation Assistance,13,3.3%,396
98422,2025,11,Education,1,<1%,396
98422,2025,12,Disaster,1,<1%,396
98422,2025,13,Other,52,13.1%,396
98354,2025,2,Housing & Shelter,72,33.3%,216
98354,2025,3,Food,14,6.5%,216
98354,2025,1,Utilities,23,10.6%,216
98354,2025,4,Healthcare & COVID-19,16,7.4%,216
98354,2025,5,Mental Health & Addictions,4,1.9%,216
98354,2025,6,Employment & Income,7,3.2%,216
98354,2025,7,Clothing & Household,2,<1%,216
98354,2025,8,Child Care & Parenting,5,2.3%,216
98354,2025,9,Government & Legal,24,11.1%,216
98354,2025,10,Transportation Assistance,7,3.2%,216
98354,2025,11,Education,1,<1%,216
98354,2025,12,Disaster,4,1.9%,216
98354,2025,13,Other,37,17.1%,216
